Client,Street,City,State,ZIP
B13160,9579 Tarlton Rd   ,Circleville,OH,43113
B13174,56720 Murray Street   ,Mattawan,MI,49071
B13178,"333 West 52nd Street, 6th Floor   ",New York,NY,10019
B13180,1003 Wilson Avenue   ,Tifton,GA,31794
B13181,615 E. Adams   ,Tucson,AZ,85705
B02278,800 Devillen   ,Royal Oak,MI,48073
B13182,4406 Okemos Road   ,Okemos,MI,48864
B13184,2704 Baker Road   ,Dexter,MI,48130
B13186,1600 Mills Ave   ,North Muskegon,MI,49445
B13018,2503 Westlake Dr Apt 7  ,Austin,TX,78746
B13019,9291 Old Redwood Hwy   ,Windsor,CA,95492
B13058,227 W. Trade Street Suite 305  ,Charlotte,NC,28202
B13061,12321 Metcalf Avenue   ,Overland Park,KS,66213
B13065,23210 Cove Orchard Rd. PO Box 534  ,Yamhill,OR,97148
WRL0169,PO Box 222   ,Liberty,NY,12754
B13081,"Division of Epidemiology and Community Health 1300 South Second Street, Suite 300  ",Minneapolis,MN,55454
B13095,The Addison 14951 Dallas Parkway  ,Dallas,TX,75254
B13100,1210 1st   ,Wichita,KS,67214
B13105,2130 East M-36   ,Pinckney,MI,48169
B13106,4141 Hull Road   ,Leslie,MI,49251
B13124,4815 136th Ave   ,Hamilton,MI,49419
B13129,3305 Greenwich Angling Rd   ,Greenwich,OH,44837
B13138,305 Union Street   ,Wellington,OH,44090
B13148,506 North Main St   ,Sugar Grove,OH,43155
B13163,18444 N. 25th Ave. Suite 320   ,Phoenix,AZ,85023
B09892,"Sent via Email: ryan@wrkllc.com 440 North 9th Street, Suite 140  ",Lincoln,NE,68508
B07386,"Sent via Email:  Peter.Gierasch@nebraska.gov Critical Sys Program Director/Operations Administr 1526 K Street, Suite 310 ",Lincoln,NE,68508
B12214,1100 Louisiana St. 18th Floor  ,Houston,TX,77002
SI363,1100 Louisiana Suite 2200  ,Houston,TX,77002
B13200,   ,Vahala,NY,
B13219,3820 Faber Place Drive Suite 600  ,Charleston,SC,29405
B13262,3422 North 13th St.   ,Arlington,VA,22201
B13270,Co-working space for now   ,Plano,TX,
B13276,2550 Pacific Avenue   ,Dallas,TX,
B13307,165 Court Street #281   ,Brooklyn,NY,11201
B13325,2101 E. Main Street   ,Richmond,VA,23223
B13335,2501 North Harwood Suite 2200  ,Dallas,TX,75201
B09872,10366 Rosell Street Suite A  ,San Diego,CA,92121
B09940,555 West 57th street   ,New York,NY,
B09941,1345 Champa Street   ,Denver,CO,80204
B09946,14241 Dallas Parkway Suite 225  ,Dallas,TX,75254
B09965,P.O. Box 3847   ,Omaha,NE,68103
WRL2113,4977 Northcutt Place   ,Dayton,OH,45414
B09987,1616 Woodall Rodgers   ,Dallas,TX,75202
WRL0030,Attn: Accounts Payable RK-25 6801 Brecksville Rd.  ,Independence,OH,44131
B05320,CityCenter One 800 Town and Country Blvd. Suite 200  ,Houston,TX,77024
B10023,15912 NE 160th St.   ,Woodinville,WA,98072
B10030,4514 Travis Street Suite 314  ,Dallas,TX,75205
B10032,170 Central Park West   ,New Yrok,NY,10024
B10033,12809 W Dodge Rd   ,Omaha,NE,68154
B10034,150 W. 17th St.   ,New York,NY,10011
B10035,4840 Kennett Pike   ,wilmington,DE,19807
B10036,2 Columbus Circle   ,New York,NY,10019
B10037,103 Orchard St. 4th Fl   ,New York,NY,
B10038,"1075 Old County Road, Suite D   ",Belmont,CA,94002
B07578,1111 Broadway Suite 1980  ,Oakland,CA,94607
B10039,909 Montgomery St. Suite 103   ,San Francisco,CA,94133
B10049,3601 Burt St.   ,Omaha,NE,68131
B10051,6655 Alvarado Rd   ,San Diego,CA,92120
B10052,2825 E. Barnett Road   ,Medford,OR,97504
B10062,27 Park Street   ,Hyannis,MA,02601
B10066,901 US-83   ,Childress,TX,79201
B10069,99 Schermerhorn Street   ,Brooklyn,NY,11201
B10070,225 Madison Ave at 36th St.   ,New York,NY,10016
B10072,215 Centre Street   ,New York,NY,10013
B10073,144 W. 125th St.   ,New York,NY,10027
B10099,204 N. Prince St.   ,Lancaster,PA,17603
B10101,600 N. Market St.   ,Wilmington,DE,19801
B10102,1140 Boylston St.   ,Boston,MA,02215
B10104,8300 304th Ave SE   ,Preston,WA,98050
B09646,1201 S. Alma School Road Suite 4000  ,Mesa,AZ,85210
B10231,111 Maiden Lane 4th floor  ,San Francisco,CA,94108
B10233,1700 Columbian Club Drive   ,Carrollton,TX,75006
B10234,11101 Nations Ford Road   ,Charlotte,NC,28273
SI_182614,Mail Stop: PT-PTWR-22-1 300 Fifth Avenue  ,Pittsburgh,PA,15222
B10237,"Imagetek Headquarters 220 Westway Place, Suite 150  ",Arlington,TX,76018
B10238,130 West Paces Ferry Road NW   ,Atlanta,GA,30305
B08944,100 West Walnut Street   ,Pasadena,CA,91124
B10239,110 S. Poplar Street Suite 400  ,Wilmington,DE,19801
B10234,Cummins Business Services NAD BC104 P.O. Box 291989 ,Nashville,TN,37229
B09708,   ,New York,NY,
B10247,2400 S. Avenue A   ,Yuma,AZ,85364
B10248,5465 Legacy Drive Suite 300  ,Plano,TN,75024
B10253,Attn: Accounts Payable PO Box 549  ,Preston,WA,98050
WRL1181,"2700 S. Quincy Street, Suite 54   ",Arlington,VA,22206
B05467,19700 Fairchild Road Suite 146  ,Irvine,CA,92612
B10255,700 W State St   ,Milwaukee,WI,53233
SI_18214,2 Bethesda Metro Center   ,Bethesda,MD,20814
B10256,3200 Olympus Blvd. Suite 200  ,Dallas,TX,75019
B10260,4950 Amon Carter Blvd.   ,Fort Worth,TX,76155
B10262,7500 Windrose Avenue Suite 250  ,Plano,TX,75024
B10262,3999 West Chester Pike   ,Newtown Square,PA,19073
B10270,"3100 South National Avenue, Suite 300   ",Springfield,MO,65807
B10272,"15 Koch Road, Suite J   ",Corta Madera,CA,94925
B10277,"Attn:  Charlie Meyer, President/General Manager Email Inv CharlieM@saltdogs.com 403 Line Drive Circle ",Lincoln,NE,68508
B10278,1101 Connecticut Ave NW Second Floor  ,Washington,DC,20036
B10279,1 West Wilson Street   ,Madison,WA,53703
B10235,200 Broadway #102   ,Wichita,KS,67202
B07708,Email Inv: ryan-dehart@uiowa.edu 200 University Services Building  ,Iowa City,IA,52242
B10245,"1010 Wisconsin Ave, NW Suite 150  ",Washington,DC,20007
B10246,1838 N. 23rd Avenue   ,Phoenix,AZ,85009
B10280,2300 Capitol Avenue 401 Hathaway Building  ,Cheyenne,WY,82002
B10282,6817 208th ST. SW #1911   ,Lynnwood,WA,98046
B13049,2323 Cedar Springs   ,Dallas,TX,75201
SI_181028,20410 North 19th Ave #100 Suite 100  ,Phoenix,AZ,85027
B07490,8081 Royal Ridge Pkwy   ,Irving,TX,75063
B10285,15 Muirfield Place   ,New Orleans,LA,70131
B10286,1406 Rangeline Street   ,Columbia,MO,65201
B10291,8 Fenway   ,Boston,MA,02215
B10292,"Maxwell Library, Rooms 100 & 101 10 Shaw Road  ",Bridgewater,MA,02325
B10293,6300 Legacy Drive   ,Plano,TX,75024
B10294,2299 Kuhio Avenue   ,Honolulu,HI,96815
B10296,25 W. Jefferson St.   ,Jefferson,OH,44047
B10296,25 W. Jefferson St.   ,Jefferson,OH,44047
B10297,1709 SE 3rd AVE   ,Portland,OR,97214
B10298,4800 N Channel AVE   ,Portland,OR,97217
B13050,10500 NE 8th St. Suite 1300  ,Bellevue,WA,98004
B13051,900 W Bethany Drive Suite 230  ,Allen,TX,75013
SI_183471,12750 Merit Drive   ,Dallas,TX,
B13068,5000 92nd Street North   ,St. Petersburg,FL,33708
B13097,405 W. Main Street   ,Northville,MI,48167
B02276,7273 Wing Lake Road   ,Bloomfield Hills,MI,48301
B13119,348 South Cassingham Rd   ,Bexley,OH,43209
B10249,506 S. Pleasant Drive   ,Greenville,SC,29607
B10250,PO Box 3546   ,Seattle,WA,98124
B10251,3400 West Bayshore Road   ,Palo Alto,CA,94303
B10254,"484 Turner Drive, D-201   ",Durango,CO,81301
B10254,4148 N Arcadia Drive   ,Phoenix,AZ,85018
B09309,25650 W. Eleven Mile Road Suite 300  ,Southfield,MI,48034
B10257,   ,Dallas,TX,75001
B10258,20 North Tracy Avenue   ,Bozeman,MT,59715
B10259,1301 W. President George Bush Hwy. Suite 140  ,Richardson,TX,75080
B10261,5307 E. Mockingbird Lane Suite 220  ,Dallas,TX,75206
B10263,700 State Highway 121 Suite 175  ,Lewisville,TX,75067
SH314,5500 North Sam Houston Parkway West Suite 100  ,Houston,TX,77086
B10264,151 Farmington Avenue   ,Hartford,CT,06156
B10269,359 Shockdrake Court   ,Wentzville,MO,63385
B10273,313 Gillett Street   ,Painesville,OH,44077
B10276,511 10th Street NW   ,Washington,DC,20004
B10281,205 East Warm Springs Rd  Suite 105   ,Las Vegas,NV,89119
B10287,   ,Dallas,TX,
B10290,3724 East Columbia Street   ,Tucson,AZ,85714
B13059,"56880 Venture Lane, Suite 104N   ",Bend,OR,97707
B13083,1138 136th Ave   ,Holland,MI,49424
B13089,13261 Timberline Plaza Suite B  ,Piedmont,SD,57769
B13090,1324 Burton Street SW   ,Wyoming,MI,49509
B13101,450 S Melrose Drive   ,Vista,CA,92081
B13108,626 Phillips Ave   ,Clawson,MI,48017
B13110,420 Ypsilanti   ,Dundee,MI,48131
B10266,6829 North 12th Street   ,Phoenix,AZ,85014
B10271,"c/o Avant Group, Inc. 100 Bush Street, Suite 1450  ",San Francisco,CA,94104
B13054,South Central Calhoun CSD 1000 Tonawanda Street  ,Rockwell City,IA,50579
B13070,8509 154th Ave NE   ,Redmond,WA,98052
B13078,1444 Oak Lawn Avenue Suite 200  ,Dallas,TX,75207
B13092,4606 Croyden Ave   ,Kalamazoo,MI,49006
B13114,418 Highland Street   ,Williamston,MI,48895
B13121,1207 Cambridge Rd   ,Coshocton,OH,43812
B13122,6855 Drake Rd   ,Cincinnati,OH,45243
B09655,Sent via Email:  jeremy.guenthner@rtgmedical.com 950 South 10th Street #42  ,Omaha,NE,68108
B13123,7733 Forsyth Blvd Suite 295   ,Clayton,MO,63105
B13126,7733 Stone Rd   ,Independence,OH,44131
B13127,4140 State Route 44   ,Rootstown,OH,44272
B13128,   ,New York,NY,
B13131,525 E Main Street   ,Hebron,OH,43025
B13133,500 Yankee Rd   ,Monroe,OH,45050
B13136,330 Main Street   ,Waterford,OH,45786
B13140,3890 Lincoln Ave   ,Shadyside,OH,43947
B13145,One Donham Plaza 4th Floor  ,Middletown,OH,45042
B10288,11 South Meridian Street   ,Indianapolis,IN,46204-3535
B13063,Borough Administration Building 103 Third Ave S  ,Haines,AK,99827
B13071,   ,Charlotte,NC,
B13073,6021 12th Street E Suite 200  ,Fife,WA,98424
B13074,11012 Canyon Rd. E Suite 8-387  ,Puyallup,WA,98373
B13075,"c/o Skanska USA Commercial Development Inc. 633 W. 5th Street, 68th Floor  ",Los Angeles,CA,90071
B13075,"c/o Skanska USA Commercial Development Empire State Building 350 Fifth Avenue, 32 Floor ",New York,NY,10118
B13080,"2049 Century Park East, 41st Floor   ",Los Angeles,CA,90067
B13082,8750 S. Science Dr.   ,Tempe,AZ,85284
B13085,300 East 16th Ave   ,Gulf Shores,AL,36542
B13107,17445 Pine River School Road   ,LeRoy,MI,49655
B13116,600 Lafayette St   ,Archbold,OH,43502
B13117,305 S Washington St   ,Castalia,OH,44824
B13137,7650 Jerry City Rd   ,Bloomdale,OH,44817
B13144,108 Woodrow Ave   ,St. Clairsville,OH,43950
B13146,148 South Elder   ,Grant,MI,49327
B02303,7946 Beechmont Ave   ,Cincinnati,OH,45255
B13147,328 East Main St   ,Amanda,OH,43102
B13155,1587 West 3rd Ave   ,Columbus,OH,43212
B13157,441 South Main   ,Johnstown,OH,43031
B13159,1108 S Main St   ,Baltimore,OH,43105
B13162,55 Linson Rd   ,London,OH,43140
B13166,7205 W. Silver Lake Road   ,Linden,MI,48451
B13167,3201 Roosevelt   ,Hamtramck,MI,48212
B13169,3354 South Genesee Road   ,Burton,MI,48519
B13170,101 Primary Way   ,Lawton,MI,49065
B10299,P.O. BOX 556   ,Harbor Springs,MI,49740
SI_18344,333 W. Campbell Road Suite 110  ,Richardson,TX,75080
B10312,P O Box 162304   ,Austin,TX,78716
B10327,dba DoubleTree Orlando at the entrance of Universal Orlando 5780 Major Boulevard ,Orlando,FL,32819
B06739,777 Main St. Suite 1100  ,Ft. Worth,TX,76102
B10399,900 Commerce Pkwy   ,Hays,KS,67601
B10370,14432 SE Eastgate Way Suite 230  ,Bellevue,WA,98007
B10372,25 W Southern Avenue   ,Tempe,AZ,85282
B10373,200 Fairbrook Drive Suite 201  ,Herndon,VA,20170
B09036,2001 Ross Avenue Suite 3600  ,Dallas,TX,75201
B01721,"Sent via Email:  tball@naifma.com Wells Fargo Center 1248 ""O"" Street  Suite 1031 ",Lincoln,NE,68508
B10403,1270 Eagan Industrial Road Suite 150  ,Eagan,MN,55121
B10405,1120 23rd Ave   ,Seattle,WA,98122
B10406,15805 SE 264th St.   ,Covington,WA,98042
SI_182970,5700 Granite Parkway Suite 650  ,Plano,TX,75024
B10408,2810 Sydney Road   ,Plant City,FL,33566
B09579,2525 McKinnon Street Suite 425  ,Dallas,TX,75201
B10410,4574 Alpine Road   ,Portola Valley,CA,94028
B10413,"5707 Southwest Parkway Building 1, Suite 200  ",Austin,TX,78735
B10419,333 1st Avenue   ,Dallas,TX,
B10420,2 La Porte Street   ,Arcadia,CA,91006
B10421,2305 Cedar Springs Road Suite 125  ,Dallas,TX,75201
B10422,375 Hudson Street   ,New York,NY,10014-3667
B10425,3144 Bee Caves Rd.   ,Austin,TX,78746
B04261,6555 State Hwy 161   ,Irving,TX,75039
SI_182503,10188 Telesis Court Suite 222  ,San Diego,CA,92121
SI_182536,10000 North Central Expressway Suite 101  ,Dallas,TX,75231
SI_182553,8222 Douglas Ave Suite 450  ,Dallas,TX,75225
SI_182582,8401 North Central Expressway Suite 225  ,Dallas,TX,75225
SI_182597,777 Hidden Ridge   ,Irving,TX,75038
SI_182600,2911 Turtle Creek Blvd Suite 700  ,Dallas,TX,75219
SI_182609,2828 Routh Street Suite 700  ,Dallas,TX,75201
SI_182614,1585 Southlake Parkway Suite 200 G-4-U702-01-1 ,Morrow,GA,30260
SI_182617,2100 Ross Avenue Suite 2900  ,Dallas,TX,75201
SI_182625,1301 South Mopac Suite 430  ,Austin,TX,78746
SI_182634,12222 Merit Drive (relo 2016?) Suite 1230  ,Dallas,TX,75251
SI_182643,16775 Addison Rd. Suite 500  ,Addison,TX,75001
SI_182654,2121 North Akard Suite 100  ,Dallas,TX,75201
SI_182666,580 Herndon Parkway Suite 500  ,Herndon,VA,20170
SI3203,6012 W Campus Circle Drive Suite 210  ,Irving,TX,75063
SI_182684,213 Washington Street First Floor  ,Newark,NJ,07102-3777
SI_182688,2828 Routh Street Suite 200  ,Dallas,TX,75201
SI_182699,8333 Douglas Avenue Suite 1350  ,Dallas,TX,75225
SI_182717,5956 Sherry Lane   ,Dallas,TX,75225
SI_182749,17Seventeen Suite 150  ,Dallas,TX,75202
SI_182762,2525 McKinnon Suite 700  ,Dallas,TX,75201
SI_182770,5950 Sherry Lane Suite 600  ,Dallas,TX,75225
SI_182791,5944 Luther Lane Suite 1000  ,Dallas,TX,75225
SI_182803,6600 Chase Oaks Blvd. Suite 100  ,Plano,TX,75023
SI_182808,The Summit at Las Colinas 545 East John Carpenter Freeway Suite 1420 ,Irving,TX,75062
SI_182820,3500 Maple Suite  ,Dallas,TX,75219
SI_182828,3333 Lee Parkway Suite 400  ,Dallas,TX,75219
SI580,"Three Galleria Tower 13155 Noel Rd., Ste. 1200  ",Dallas,TX,75240
SI_182857,200 Liberty Street 17th Floor  ,New York,NY,10281
SI2533,"1601 Elm St, Suite 200   ",Dallas,TX,75201
SI_182871,2900 Cityplace 2711 N. Haskell Ave.  ,Dallas,TX,75204
B08837,15207 Addison Road   ,Addison,TX,75001
SI_182898,777 Main Street Suite 600  ,Fort Worth,TX,76102
SI_182922,8235 Douglas Avenue Suite 500  ,Dallas,TX,75225
SI_182931,6191 North State Highway 161   ,Irving,TX,75038-2220
SI_182942,4055 Valley View Lane Suite 700  ,Farmers Branch,TX,75244
SI_182963,3100 McKinnon Street Suite 900  ,Dallas,TX,75201
SI_182970,2200 Ross Avenue Suite 4800 West  ,Dallas,TX,75201
SI_182975,2001 Bryan Street Suite 1550  ,Dallas,TX,75201
SI_182981,2000 McKinney Ave Suite 1700  ,Dallas,TX,75201
SI_182995,500 Crescent Court Suite 100  ,Dallas,TX,75201
SI_183000,2000 McKinney Avenue Suite 1000  ,Dallas,TX,75201-1954
SI_183013,111 Center Street 7th Floor  ,Little Rock,AR,72201
SI3238,14675 Dallas Parkway Suite 600  ,Dallas,TX,75254
SI_183073,14160 Dallas Parkway Suite 700  ,Dallas,TX,75254
SI_183085,5601 Bridge Street Suite 504  ,Fort Worth,TX,76112
SI_183142,1711 San Jacinto (other locations as well)  ,Austin,TX,78701
SI_183167,151-2 East Sessom Drive Suite 104  ,San Marcos,TX,78666
SI_183178,3601 4th Street   ,Lubbock,TX,79430
SI_183200,"1600 North Collins Boulevard, Suite 1500   ",Richardson,TX,75080
B09109,Lakeside Office Center 2850 Lake Vista Drive Suite 110 ,Lewisville,TX,75067
B12281,PO Box 1265   ,Brooksville,FL,34605
SI_183217,3030 Olive Street 400 Victory Plaza East  ,Dallas,TX,75201
SI_183231,8750 N. Central Expressway Suite 1200  ,Dallas,TX,75231
B09367,3700 S. Stone Bridge   ,McKinney,TX,75070
SI_183243,1389 FM 546   ,McKinney,TX,75069
SI_183247,Toyota Motor Sales USA Inc. 19001 South Western Avenue  ,Torrance,CA,90509
SI_183315,Los Angeles Headquarters 550 S Hope Street 26th Floor ,Los Angeles,CA,90071
SI_183324,750 N. Saint Paul Street Suite 900  ,Dallas,TX,75201
SI_183344,12042 Blanco Rd. Suite 200  ,San Antonio,TX,78216
SI_183367,300 Crescent Court Suite 1150  ,Dallas,TX,75201
SI_183376,8080 Park Lane Suite 800  ,Dallas,TX,75205
SI_183395,7301 N. State Hwy 161 Suite 160  ,Irving,TX,75039
SI_183405,2204 W. Prairie Street 1155 Union Circle #311040 ,Denton,TX,76201
SI_183413,701 S. Nedderman Drive   ,Arlington,TX,76019
SI_183417,Office of Facility Planning & Construction 791 Synergy Park Blvd.  ,Richardson,TX,75080
SI_183426,"Office of Facilities Planning and Construction 210 W. 6th Street, Room B.140E  ",Austin,TX,78701
SI_183446,5323 Harry Hines Boulevard   ,Dallas,TX,75390
SI_183462,300 Crescent Court Suite 850  ,Dallas,TX,75201
SI_183465,8235 Douglas Ave Suite 720  ,Dallas,TX,75225
SI_183467,Thanksgiving Tower 1601 Elm Street Suite 3600 ,Dallas,TX,75201
SI_183471,8214 Westchester Suite 100  ,Dallas,TX,75225
SI_183473,600 Hidden Ridge   ,Irving,TX,75038
SI_183487,PO Box 703639   ,Dallas,TX,75370-3639
SI_183516,2821 West Seventh Street Suite 700  ,Fort Worth,TX,76107
SI_183530,800 West Airport Freeway Suite 840  ,Irving,TX,75062
SI3183,200 Crescent Court Suite 440  ,Dallas,TX,75201
SI_183545,400 S. Record Street Suite 1100  ,Dallas,TX,75202
SI_183565,5605 North MacArthur Blvd.   ,Irving,TX,75038
SI_183570,"2651 N. Harwood, Ste. 300   ",Dallas,TX,75201
SI_183575,325 St. Paul Street Suite 4200  ,Dallas,TX,75201
SI_183588,"14643  Dallas Parkway Suite 950, LB 58  ",Dallas,TX,75254
SI_18442,9400 North Central Expressway Suite 500  ,Dallas,TX,75231
SI_18449,"Corporate Headquarters 401 Plymouth Road, Suite 500  ",Plymouth Meeting,PA,19462
SI_18907,"3344 Peachtree Street, NE Suite 1800  ",Atlanta,GA,30315-4802
SI244,777 Main Street Suite 2260  ,Ft. Worth,TX,76102
SI_181162,3890 W. Northwest Highway Suite 640  ,Dallas,TX,75220
SI_181224,14841 N. Dallas Parkway Suite 225  ,Dallas,TX,75254
SI_181687,125 John Carpenter Freeway   ,Irving,,
SI405,200 East Randolph Drive   ,Chicago,IL,60601
SI_181932,8750 N. Central Expwy Suite 1800  ,Dallas,TX,75231
SI_181939,3500 Oak Lawn Suite 230  ,Dallas,TX,75219
SI_182059,"One Lake Park 2140 Lake Park Blvd. 3rd Floor, Suite 303 ",Richardson,,75080
SI_182586,Pillar Commercial 12160 N. Abrams Road Suite 650 ,Dallas,TX,75243
B11036,2704 Easton Blvd   ,Des Moines,IA,50317
SI_182903,420 Commerce Street Suite 500  ,Fort Worth,TX,76102
SI_182913,14755 Preston Road Suite 100  ,Dallas,TX,75254
SI_183083,5429 LBJ Freeway Suite 430  ,Dallas,TX,75240
SI_183387,1630 Corporate Court   ,Irving,TX,75038
B09791,748 Whalers Way Suite 110  ,Fort Collins,CO,80525
SI_181,100 East Royal Lane   ,Irving,TX,
SI_182,10000 North Central Expressway   ,Dallas,TX,75231
SI_183,10501 North Central Expressway   ,Dallas,TX,75231
SI_1812,1532 Edison St   ,Dallas,TX,75207
SI_1813,1539 Edison St   ,Dallas,TX,75207
SI_1814,1550 Edison St   ,Dallas,TX,75207
SI_1819,1717 McKinney Avenue   ,Dallas,TX,75202
SI_1820,1812 Haskell   ,Dallas,TX,
SI_1823,1900 Pearl   ,Dallas,TX,75201
SI_1829,3575 Lone Star Circle Suite 200  ,Fort Worth,TX,76117
SI_1834,211 Ervay   ,Dallas,TX,
SI_1837,8115 Preston Road Suite 700  ,Dallas,TX,75225
SI_1844,2700 Research Forest Office Building   ,The Woodlands,TX,77381
SI_1846,2801 Lemmon Avenue   ,Dallas,TX,75204
SI_1851,3001 Knox   ,Dallas,TX,
SI_1853,3100 Monticello Avenue Suite 600  ,Dallas,TX,75205
SI_1859,3400 N. Central Expressway   ,Richardson,TX,
SI_1861,350 Highland Drive   ,Lewisville,TX,75067
SI_1866,13155 Noel Road Suite 900  ,Dallas,TX,75240
SI_1867,400 N. Akard Street   ,Dallas,TX,75201
SI_1869,4040 North Central Expressway Suite 125  ,Dallas,TX,75204
SI_1871,4228 North Central Expressway   ,Dallas,TX,75206
SI_1883,800 Jackson Street Suite 500  ,Dallas,TX,75202
SI_1888,6060 N. Central Expressway   ,Dallas,TX,75206
SI_1890,640 Taylor St   ,Fort Worth,TX,
SI_1892,717 N. Harwood   ,Dallas,TX,75201
SI_1894,777 Main Street Suite C-5  ,Fort Worth,TX,76102
SI_18101,8214 Westchester   ,Dallas,TX,
SI_18104,8435 N. Stemmons Freeway Suite 920  ,Dallas,TX,75247
SI_18109,17311 Dallas Parkway #232  ,Dallas,TX,75248
SI_18115,3500 Maple Ave. Suite 850  ,Dallas,TX,75219
B03338,2000 McKinney Avenue Suite 2100  ,Dallas,TX,75201
SI_18118,5080 Spectrum Drive Suite 760W  ,Addison,TX,75001
SI_18126,10000 N Central Expressway Suite 1400  ,Dallas,TX,75231-2319
SI2166,7160 Dallas Parkway Suite 100  ,Plano,TX,75024
SI_18130,7700 Windrose Avenue Suite G300  ,Plano,TX,75024
SI_18138,   ,Dallas,TX,
SI_18141,2727 LBJ Freeway #1005   ,Dallas,TX,75234
SI_18150,6303 Cowboys Way Suite 110  ,Frisco,TX,75034
SI_18151,100 N Central Expressway Suite 1010  ,Richardson,TX,75080-5327
SI_18153,1400 NW 107th Avenue   ,Miami,FL,33172
SI_18157,Williams Square 5215 N O'Connor Blvd Suite 1600 ,Irving,TX,75039
SI_18159,10670 N. Central Expressway Suite 400  ,Dallas,TX,75231
SI_18161,100 Legends Lane   ,Waco,TX,76706
SI_18166,351 W Jefferson Blvd Suite 300  ,Dallas,TX,75208
SI_18167,Fort Worth Spinks Airport 13451 Wing Way Suite 110 ,Burleson,TX,76028
SI_18169,5800 Granite Parkway Suite 860  ,Plano,TX,75024
SI_18174,2300 North Field Street Suite 1800  ,Dallas,TX,75201
SI_18175,7324 Gaston Avenue #124-341   ,Dallas,TX,75214
SI_18176,200 Congress Avenue Suite 50U  ,Austin,TX,78701
SI_18177,2711 LBJ Freeway Suite 130  ,Dallas,TX,75234
SI_18179,2100 McKinney Avenue Suite 800  ,Dallas,TX,75201
SI_18180,   ,Dallas,TX,
SI_18181,700 Central Expressway S #210  ,Allen,TX,75013
SI_18182," 6005 Hidden Valley Road, Suite  ",Carlsbad,CA,92009
SI_18194,211 N. Ervay Street   ,Dallas,TX,75201
SI_18211,"13455 Noel Rd., Suite 1750   ",Dallas,TX,75240
SI_18214,2200 Ross Avenue Suite 4500W  ,Dallas,TX,75201
SI_18217,2400 N. Dallas Parkway Suite 200  ,Plano,TX,75093
SI_18221,3700 Eagle Place Dr. Suite 100  ,Dallas,TX,75236
SI_18222,102 West Moore Avenue   ,Terrell,TX,75160
B07304,2525 South Shore Blvd. Suite 207  ,League City,TX,77573
SI_18224,801 North Brand Blvd. Suite 800  ,Glendale,CA,91203
SI_18229,One Alhambra Plaza Suite 1450  ,Coral Gables,FL,33134
SI_18230,12400 High Bluff Drive Suite 100  ,San Diego,CA,92130
SI_18233,865 Greenview Drive   ,Grand Prairie,,75050-2439
SI_18235,5601 Granite Parkway Suite 1200  ,Plano,TX,75024
SI_18237,2730 Irving Blvd.   ,Dallas,TX,75207
SI_18238,245 Park Avenue Suite 26  ,New York,NY,10167
B08929,200 East Randolph Street 19th Floor  ,Chicago,IL,60601
SI_18242,9255 SW Pioneer Ct   ,Wilsonville,OR,97070
SI_18243,9 West 57th Street 43rd Floor  ,New York,NY,10019
SI_18245,2240 Campbell Creek Blvd. Suite 200  ,Richardson,TX,75082
SI_18247,400 E. Las Colinas Blvd Suite 500  ,Irving,TX,75039
SI_18248,3500 Maple Avenue Suite 1165  ,Dallas,TX,75219
SI_18252,"Seven Penn Center 1635 Market Street, 17th Floor  ",Philadelphia,PA,19103
SI_18253,   ,Atlanta,GA,
SI_18257,2360 Campbell Creek Suite 525  ,Richardson,TX,75082
SI_18258,1405 Crescent Drive   ,Carrollton,TX,75006
SI_18262,14185 Dallas Parkway Suite 1100  ,Dallas,TX,75254
SI_18263,7284 West Palmetto Park Road   ,Boca Raton,FL,33433
SI_18264,2501 N. Harwood Suite 1250  ,Dallas,TX,75201
SI_18265,7557 Rambler Road Suite 1050  ,Dallas,TX,75231
SI_18268,"1717 McKinney Avenue Suite 1000, 10th Floor  ",Dallas,TX,75202
SI_18274,Dallas Regional HQ 4851 Regent Blvd.  ,Irving,TX,75063
SI_18278,325 S Mesquite Street   ,Arlington,TX,76010
SI_18287,1717 McKinney Avenue Suite 1590  ,Dallas,TX,75202
SI_18314,13859 Diplomat Suite 180  ,Dallas,TX,75234
SI_18315,12222 Merit Drive Suite 360  ,Dallas,TX,
SI_18316,208 N. Market Street Suite 500  ,Dallas,TX,75202
SI_18317,5830 Granite Parkway Suite  ,Richardson,TX,75024
SI_18321,5850 Granite Parkway Suite 700  ,Plano,TX,75024
SI_18322,2745 North Dallas Parkway Suite 300  ,Plano,TX,75093
SI_18324,2518 Chalk Hill Road   ,Dallas,,75212
SI_18325,2821 Daniel Avenue   ,Dallas,TX,75201
SI_18332,2001 Ross Avenue Suite 600  ,Dallas,TX,75201-2980
SI_18334,"2400 N. Glenville Drive Building A, Suite 100  ",Richardson,TX,75082
SI_18339,2701 E. Grauwyler Rd.   ,Irving,TX,75061
SI_18340,5820 W Northwest Hwy Ste 200  ,Dallas,TX,75225
SI_18343,6242 E. 41st Street South Third Floor  ,Tulsa,OK,74135-6118
SI_18347,15950 Dallas Parkway Suite 400  ,Dallas,TX,75248
SI_18349,2305 Cedar Springs Suite 200  ,Dallas,TX,75201
B08910,2100 & 2101 McKinney (relo 2018) Suite 1250  ,Dallas,TX,75201
SI_18355,545 E. John Carpenter Freeway Suite __________  ,Irving,TX,75062
SI_18357,509 Pecan Street Suite 201  ,Fort Worth,,76102
